Symbol,Date,CP
BABA,18/10/2018,142.020004
BABA,19/10/2018,142.929993
BABA,22/10/2018,148.800003
BABA,23/10/2018,146.649994
BABA,24/10/2018,139.610001
BABA,25/10/2018,144.600006
BABA,26/10/2018,142.869995
BABA,29/10/2018,133.380005
BABA,30/10/2018,136.330002
BABA,31/10/2018,142.279999
BABA,1/11/2018,151.25
BABA,2/11/2018,147.589996
BABA,5/11/2018,144.639999
BABA,6/11/2018,147.440002
BABA,7/11/2018,152.5
BABA,8/11/2018,148.990005
BABA,9/11/2018,144.850006
BABA,12/11/2018,142.820007
BABA,13/11/2018,146.979996
BABA,14/11/2018,150.440002
BABA,15/11/2018,156.220001
BABA,16/11/2018,154.100006
BABA,19/11/2018,149.529999
BABA,20/11/2018,145.979996
BABA,21/11/2018,149.410004
BABA,23/11/2018,150.330002
BABA,26/11/2018,156.009995
BABA,27/11/2018,156.460007
BABA,28/11/2018,159.339996
BABA,29/11/2018,156.279999
BABA,30/11/2018,160.860001
BABA,3/12/2018,163.740005
BABA,4/12/2018,158.339996
BABA,6/12/2018,155.830002
BABA,7/12/2018,153.059998
BABA,10/12/2018,151.429993
BABA,11/12/2018,151.830002
BABA,12/12/2018,151.5
BABA,13/12/2018,151.479996
BABA,14/12/2018,149
BABA,17/12/2018,143.979996
BABA,18/12/2018,140.820007
BABA,19/12/2018,137.139999
BABA,20/12/2018,135.110001
BABA,21/12/2018,132
BABA,24/12/2018,131.889999
BABA,26/12/2018,138
BABA,27/12/2018,138.449997
BABA,28/12/2018,139.089996
BABA,31/12/2018,137.070007
BABA,2/01/2019,136.699997
BABA,3/01/2019,130.600006
BABA,4/01/2019,139.75
BABA,7/01/2019,143.100006
BABA,8/01/2019,146.789993
BABA,9/01/2019,151.919998
BABA,10/01/2019,151.690002
BABA,11/01/2019,151.320007
BABA,14/01/2019,149.270004
BABA,15/01/2019,150.880005
BABA,16/01/2019,154.839996
BABA,17/01/2019,155.970001
BABA,18/01/2019,157.020004
BABA,22/01/2019,152.149994
BABA,23/01/2019,152.029999
BABA,24/01/2019,155.860001
BABA,25/01/2019,159.210007
BABA,28/01/2019,158.919998
BABA,29/01/2019,156.880005
BABA,30/01/2019,166.820007
BABA,31/01/2019,168.490005
BABA,1/02/2019,167.970001
BABA,4/02/2019,166.699997
BABA,5/02/2019,171.830002
BABA,6/02/2019,171.520004
BABA,7/02/2019,166.960007
BABA,8/02/2019,167.360001
BABA,11/02/2019,167.449997
BABA,12/02/2019,168.710007
BABA,13/02/2019,169.399994
BABA,14/02/2019,168.380005
BABA,15/02/2019,166.149994
BABA,19/02/2019,170.179993
BABA,20/02/2019,170.710007
BABA,21/02/2019,171.660004
BABA,22/02/2019,176.919998
BABA,25/02/2019,183.25
BABA,26/02/2019,183.539993
BABA,27/02/2019,184.580002
BABA,28/02/2019,183.029999
BABA,1/03/2019,183.880005
BABA,4/03/2019,187.25
BABA,5/03/2019,185
BABA,6/03/2019,184.169998
BABA,7/03/2019,177.320007
BABA,8/03/2019,175.029999
BABA,11/03/2019,180.410004
BABA,12/03/2019,180.630005
BABA,13/03/2019,180.699997
BABA,14/03/2019,180.360001
BABA,15/03/2019,180.970001
BABA,18/03/2019,181.830002
BABA,19/03/2019,182.139999
BABA,20/03/2019,181.279999
BABA,21/03/2019,181.5
BABA,22/03/2019,176.259995
BABA,25/03/2019,178.770004
BABA,26/03/2019,178.080002
BABA,27/03/2019,177.029999
BABA,28/03/2019,177.729996
BABA,29/03/2019,182.449997
BABA,1/04/2019,180.889999
BABA,2/04/2019,181.740005
BABA,3/04/2019,178.320007
BABA,4/04/2019,181.070007
BABA,5/04/2019,185.350006
BABA,8/04/2019,186.5
BABA,9/04/2019,187.190002
BABA,10/04/2019,186.190002
BABA,11/04/2019,184.979996
BABA,12/04/2019,188.910004
BABA,15/04/2019,183.070007
BABA,16/04/2019,185.779999
BABA,17/04/2019,187.550003
BABA,18/04/2019,186.940002
BABA,22/04/2019,185.380005
BABA,23/04/2019,187.289993
BABA,24/04/2019,185.669998
BABA,25/04/2019,187.880005
BABA,26/04/2019,187.089996
BABA,29/04/2019,186.940002
BABA,30/04/2019,185.570007
BABA,1/05/2019,189.309998
BABA,2/05/2019,190.389999
BABA,3/05/2019,195.210007
BABA,6/05/2019,188.240005
BABA,7/05/2019,181.429993
BABA,8/05/2019,179.589996
BABA,9/05/2019,179.039993
BABA,10/05/2019,178
BABA,13/05/2019,170.009995
BABA,14/05/2019,174.839996
BABA,15/05/2019,177.600006
BABA,16/05/2019,175.570007
BABA,17/05/2019,169.570007
BABA,20/05/2019,160.649994
BABA,21/05/2019,163.429993
